Month Start,Mean Temperature
1998-09-01 00:00:00,10.63
1998-10-01 00:00:00,12.19
1998-11-01 00:00:00,13.28
1998-12-01 00:00:00,15.32
1999-01-01 00:00:00,17.57
1999-02-01 00:00:00,17.37
1999-03-01 00:00:00,16.79
1999-04-01 00:00:00,12.72
1999-05-01 00:00:00,11.66
1999-06-01 00:00:00,8.32
1999-07-01 00:00:00,7.86
1999-08-01 00:00:00,8.22
1999-09-01 00:00:00,10.19
1999-10-01 00:00:00,12.38
1999-11-01 00:00:00,13.31
1999-12-01 00:00:00,14.12
2000-01-01 00:00:00,15.42
2000-02-01 00:00:00,16.47
2000-03-01 00:00:00,14.89
2000-04-01 00:00:00,12.95
2000-05-01 00:00:00,11.09
2000-06-01 00:00:00,8.89
2000-07-01 00:00:00,8.55
2000-08-01 00:00:00,8.23
2000-09-01 00:00:00,10.11
2000-10-01 00:00:00,11.60
2000-11-01 00:00:00,11.33
2000-12-01 00:00:00,15.62
2001-01-01 00:00:00,15.18
2001-02-01 00:00:00,16.82
2001-03-01 00:00:00,15.12
2001-04-01 00:00:00,12.88
2001-05-01 00:00:00,10.65
2001-06-01 00:00:00,7.98
2001-07-01 00:00:00,6.42
2001-08-01 00:00:00,8.82
2001-09-01 00:00:00,10.66
2001-10-01 00:00:00,12.66
2001-11-01 00:00:00,13.54
2001-12-01 00:00:00,15.69
2002-01-01 00:00:00,16.14
2002-02-01 00:00:00,15.59
2002-03-01 00:00:00,15.39
2002-04-01 00:00:00,12.28
2002-05-01 00:00:00,10.77
2002-06-01 00:00:00,9.35
2002-07-01 00:00:00,7.46
2002-08-01 00:00:00,8.60
2002-09-01 00:00:00,10.47
2002-10-01 00:00:00,10.10
2002-11-01 00:00:00,12.20
2002-12-01 00:00:00,14.70
2003-01-01 00:00:00,15.86
2003-02-01 00:00:00,15.68
2003-03-01 00:00:00,15.54
2003-04-01 00:00:00,11.87
2003-05-01 00:00:00,10.87
2003-06-01 00:00:00,9.43
2003-07-01 00:00:00,6.51
2003-08-01 00:00:00,8.02
2003-09-01 00:00:00,9.84
2003-10-01 00:00:00,10.69
2003-11-01 00:00:00,12.57
2003-12-01 00:00:00,15.29
2004-01-01 00:00:00,17.14
2004-02-01 00:00:00,15.24
2004-03-01 00:00:00,13.94
2004-04-01 00:00:00,11.36
2004-05-01 00:00:00,10.51
2004-06-01 00:00:00,8.79
2004-07-01 00:00:00,6.68
2004-08-01 00:00:00,7.19
2004-09-01 00:00:00,9.36
2004-10-01 00:00:00,11.08
2004-11-01 00:00:00,13.43
2004-12-01 00:00:00,12.49
2005-01-01 00:00:00,16.08
2005-02-01 00:00:00,17.45
2005-03-01 00:00:00,15.51
2005-04-01 00:00:00,12.21
2005-05-01 00:00:00,10.84
2005-06-01 00:00:00,7.71
2005-07-01 00:00:00,8.59
2005-08-01 00:00:00,8.81
2005-09-01 00:00:00,10.45
2005-10-01 00:00:00,11.43
2005-11-01 00:00:00,13.18
2005-12-01 00:00:00,16.46
2006-01-01 00:00:00,16.19
2006-02-01 00:00:00,16.51
2006-03-01 00:00:00,13.90
2006-04-01 00:00:00,13.68
2006-05-01 00:00:00,10.26
2006-06-01 00:00:00,6.55
2006-07-01 00:00:00,7.50
2006-08-01 00:00:00,8.03
2006-09-01 00:00:00,10.88
2006-10-01 00:00:00,11.12
2006-11-01 00:00:00,12.72
2006-12-01 00:00:00,12.87
2007-01-01 00:00:00,15.80
2007-02-01 00:00:00,16.32
2007-03-01 00:00:00,15.92
2007-04-01 00:00:00,12.00
2007-05-01 00:00:00,11.75
2007-06-01 00:00:00,7.81
2007-07-01 00:00:00,7.49
2007-08-01 00:00:00,8.67
2007-09-01 00:00:00,10.10
2007-10-01 00:00:00,11.00
2007-11-01 00:00:00,12.74
2007-12-01 00:00:00,15.39
2008-01-01 00:00:00,17.31
2008-02-01 00:00:00,16.75
2008-03-01 00:00:00,15.72
2008-04-01 00:00:00,12.83
2008-05-01 00:00:00,8.79
2008-06-01 00:00:00,8.68
2008-07-01 00:00:00,7.98
2008-08-01 00:00:00,7.70
2008-09-01 00:00:00,10.38
2008-10-01 00:00:00,11.15
2008-11-01 00:00:00,13.28
2008-12-01 00:00:00,15.01
2009-01-01 00:00:00,16.78
2009-02-01 00:00:00,16.26
2009-03-01 00:00:00,14.67
2009-04-01 00:00:00,12.51
2009-05-01 00:00:00,8.58
2009-06-01 00:00:00,6.98
2009-07-01 00:00:00,7.07
2009-08-01 00:00:00,9.57
2009-09-01 00:00:00,10.09
2009-10-01 00:00:00,10.01
2009-11-01 00:00:00,12.71
2009-12-01 00:00:00,14.53
2010-01-01 00:00:00,15.98
2010-02-01 00:00:00,17.23
2010-03-01 00:00:00,15.27
2010-04-01 00:00:00,13.28
2010-05-01 00:00:00,10.51
2010-06-01 00:00:00,8.05
2010-07-01 00:00:00,7.08
2010-08-01 00:00:00,8.91
2010-09-01 00:00:00,10.15
2010-10-01 00:00:00,11.12
2010-11-01 00:00:00,13.87
2010-12-01 00:00:00,16.12
2011-01-01 00:00:00,16.63
2011-02-01 00:00:00,17.05
2011-03-01 00:00:00,15.21
2011-04-01 00:00:00,12.27
2011-05-01 00:00:00,12.03
2011-06-01 00:00:00,9.14
2011-07-01 00:00:00,7.47
2011-08-01 00:00:00,7.59
2011-09-01 00:00:00,9.21
2011-10-01 00:00:00,11.62
2011-11-01 00:00:00,12.84
2011-12-01 00:00:00,15.11
2012-01-01 00:00:00,15.57
2012-02-01 00:00:00,15.79
2012-03-01 00:00:00,13.99
2012-04-01 00:00:00,12.53
2012-05-01 00:00:00,9.78
2012-06-01 00:00:00,7.27
2012-07-01 00:00:00,7.08
2012-08-01 00:00:00,8.36
2012-09-01 00:00:00,9.78
2012-10-01 00:00:00,10.46
2012-11-01 00:00:00,11.85
2012-12-01 00:00:00,15.28
2013-01-01 00:00:00,15.94
2013-02-01 00:00:00,15.78
2013-03-01 00:00:00,15.57
2013-04-01 00:00:00,13.16
2013-05-01 00:00:00,10.21
2013-06-01 00:00:00,7.42
2013-07-01 00:00:00,7.65
2013-08-01 00:00:00,9.22
